----------------------------oping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
45826, -10, 20, -4, 10, -3
45927, 0, 0, 0, 0, 0
46028, -5, 31, -1, 10, 0
46129, -10, 62, -1, 20, -3
46230, -15, 93, -2, 35, -6
46331, -20, 124, -3, 50, -9
46432, -25, 155, -3, 70, -12
46533, -30, 186, -4, 90, -16
46635, -35, 217, -4, 110, -20
46736, -40, 248, -5, 130, -23
46837, -44, 258, -16, 155, -28
46938, -48, 268, -28, 180, -32
47039, -52, 278, -39, 210, -37
47140, -56, 288, -50, 240, -42
47241, -60, 298, -61, 270, -47
47342, -64, 308, -73, 300, -53
47443, -68, 318, -84, 320, -59
47544, -72, 328, -95, 340, -63
47645, -51, 327, -102, 365, -68
47746, -30, 326, -109, 390, -73
47847, -9, 325, -116, 420, -78
47948, 12, 324, -123, 450, -84
48049, 33, 323, -129, 485, -89
48150, 54, 322, -136, 520, -96
48251, 75, 321, -143, 565, -102
48352, 96, 320, -150, 610, -109
48453, 85, 321, -189, 635, -117
48555, 74, 322, -229, 660, -123
48656, 63, 323, -268, 680, -129
48757, 52, 324, -308, 700, -135
48858, 41, 325, -347, 715, -139
48959, 30, 326, -386, 730, -143
49061, 19, 327, -426, 740, -147
49162, 8, 328, -465, 750, -149
49263, 10, 341, -459, 770, -152
49364, 12, 354, -453, 790, -156
49466, 14, 367, -446, 800, -159
49567, 16, 380, -440, 810, -161
49668, 18, 393, -434, 815, -163
49769, 20, 406, -428, 820, -164
49870, 22, 419, -421, 825, -165
49971, 24, 432, -415, 830, -166
50072, 20, 430, -351, 840, -168
50173, 16, 428, -288, 850, -170
50274, 12, 426, -224, 855, -171
50375, 8, 424, -160, 860, -172
50476, 4, 422, -96, 865, -173
50577, 0, 420, -33, 870, -174
50678, -4, 418, 31, 880, -176
50779, -8, 416, 95, 890, -178
50880, -8, 416, 95, 890, -178
50981, -8, 416, 95, 890, -178
51082, 3, 411, 53, 875, -176
51183, 14, 406, 10, 860, -173
51284, 25, 401, -33, 840, -170
51386, 36, 396, -75, 820, -166
51487, 47, 391, -118, 795, -162
51588, 58, 386, -160, 770, -158
51689, 69, 381, -203, 735, -153
51790, 80, 376, -245, 700, -147
51891, 82, 377, -239, 650, -141
51992, 84, 378, -234, 600, -133
52093, 86, 379, -228, 555, -125
52194, 88, 380, -223, 510, -117
52295, 90, 381, -217, 450, -109
52396, 92, 382, -211, 390, -99
52497, 94, 383, -206, 360, -90
52598, 96, 384, -200, 330, -81
52699, 79, 346, -177, 300, -74
52800, 62, 308, -154, 270, -66
52901, 45, 270, -131, 240, -59
53002, 28, 232, -108, 210, -52
53103, 11, 194, -84, 180, -45
53204, -6, 156, -61, 150, -39
53306, -23, 118, -38, 125, -32
53407, -40, 80, -15, 100, -27
53508, -35, 70, -13, 80, -21
53609, -30, 60, -11, 60, -16
53710, -25, 50, -9, 45, -12
53811, -20, 40, -8, 30, -8
53912, -15, 30, -6, 20, -5
54013, -10, 20, -4, 10, -2
54114, 0, 0, 0, 0, 0
54215, -5, 31, -1, 10, 0
54316, -10, 62, -1, 20, -3
54417, -15, 93, -2, 35, -6
54518, -20, 124, -3, 50, -9
54619, -25, 155, -3, 70, -12
54720, -30, 186, -4, 90, -16
54821, -35, 217, -4, 110, -20
54922, -40, 248, -5, 130, -23
55023, -44, 258, -16, 155, -27
55124, -48, 268, -28, 180, -32
55226, -52, 278, -39, 210, -37
55327, -56, 288, -50, 240, -42
55428, -60, 298, -61, 270, -47
55529, -64, 308, -73, 300, -53
55630, -68, 318, -84, 320, -59
55731, -72, 328, -95, 340, -63
55832, -51, 327, -102, 365, -68
55933, -30, 326, -109, 390, -73
56034, -9, 325, -116, 420, -78
56135, 12, 324, -123, 450, -84
56236, 33, 323, -129, 485, -89
56337, 54, 322, -136, 520, -96
56438, 75, 321, -143, 565, -102
56539, 96, 320, -150, 610, -109
56640, 85, 321, -189, 635, -117
56741, 74, 322, -229, 660, -123
56842, 63, 323, -268, 680, -129
56943, 52, 324, -308, 700, -135
57044, 41, 325, -347, 715, -139
57146, 30, 326, -386, 730, -143
57247, 19, 327, -426, 740, -147
57348, 8, 328, -465, 750, -149
57449, 10, 341, -459, 770, -152
57550, 12, 354, -453, 790, -156
57651, 14, 367, -446, 800, -159
57752, 16, 380, -440, 810, -161
57853, 18, 393, -434, 815, -163
57954, 20, 406, -428, 820, -164
58055, 22, 419, -421, 825, -165
58156, 24, 432, -415, 830, -166
58257, 20, 430, -351, 840, -168
58358, 16, 428, -288, 850, -170
58459, 12, 426, -224, 855, -171
58560, 8, 424, -160, 860, -172
58661, 4, 422, -96, 865, -173
58762, 0, 420, -33, 870, -174
58863, -4, 418, 31, 880, -176
58964, -8, 416, 95, 890, -178
59066, -8, 416, 95, 890, -178
59167, -8, 416, 95, 890, -178
59268, 3, 411, 53, 875, -176
59369, 14, 406, 10, 860, -173
59470, 25, 401, -33, 840, -170
59571, 36, 396, -75, 820, -166
59672, 47, 391, -118, 795, -162
59773, 58, 386, -160, 770, -158
59874, 69, 381, -203, 735, -153
59975, 80, 376, -245, 700, -147
60076, 82, 377, -239, 650, -141
60177, 84, 378, -234, 600, -134
60278, 86, 379, -228, 555, -125
60379, 88, 380, -223, 510, -117
60480, 90, 381, -217, 450, -109
60581, 92, 382, -211, 390, -99
60682, 94, 383, -206, 360, -90
60783, 96, 384, -200, 330, -81
60884, 79, 346, -177, 300, -73
60986, 62, 308, -154, 270, -66
61087, 45, 270, -131, 240, -59
61188, 28, 232, -108, 210, -52
61289, 11, 194, -84, 180, -45
61390, -6, 156, -61, 150, -39
61491, -23, 118, -38, 125, -33
61592, -40, 80, -15, 100, -27
61693, -35, 70, -13, 80, -21
61794, -30, 60, -11, 60, -16
61895, -25, 50, -9, 45, -12
61996, -20, 40, -8, 30, -8
62097, -15, 30, -6, 20, -5
62198, -10, 20, -4, 10, -2
62299, 0, 0, 0, 0, 0
62400, -5, 31, -1, 10, -1
62501, -10, 62, -1, 20, -3
62602, -15, 93, -2, 35, -6
62703, -20, 124, -3, 50, -9
62804, -25, 155, -3, 70, -12
62906, -30, 186, -4, 90, -16
63007, -35, 217, -4, 110, -20
63108, -40, 248, -5, 130, -23
63209, -44, 258, -16, 155, -28
63310, -48, 268, -28, 180, -32
63411, -52, 278, -39, 210, -37
63512, -56, 288, -50, 240, -42
63613, -60, 298, -61, 270, -48
63714, -64, 308, -73, 300, -53
63815, -68, 318, -84, 320, -59
63916, -72, 328, -95, 340, -64
64017, -51, 327, -102, 365, -68
64118, -30, 326, -109, 390, -73
64219, -9, 325, -116, 420, -78
64320, 12, 324, -123, 450, -84
64421, 33, 323, -129, 485, -90
64522, 54, 322, -136, 520, -96
64623, 75, 321, -143, 565, -102
64724, 96, 320, -150, 610, -110
64826, 85, 321, -189, 635, -117
64927, 74, 322, -229, 660, -123
65028, 63, 323, -268, 680, -129
65129, 52, 324, -308, 700, -135
65230, 41, 325, -347, 715, -139
65331, 30, 326, -386, 730, -143
65432, 19, 327, -426, 740, -147
65533, 8, 328, -465, 750, -149
65634, 10, 341, -459, 770, -152
65736, 12, 354, -453, 790, -156
65837, 14, 367, -446, 800, -159
65938, 16, 380, -440, 810, -161
66039, 18, 393, -434, 815, -163
66140, 20, 406, -428, 820, -164
66241, 22, 419, -421, 825, -165
66342, 24, 432, -415, 830, -166
66443, 20, 430, -351, 840, -168
66544, 16, 428, -288, 850, -170
66646, 12, 426, -224, 855, -171
66747, 8, 424, -160, 860, -172
66848, 4, 422, -96, 865, -173
66949, 0, 420, -33, 870, -174
67050, -4, 418, 31, 880, -176
67151, -8, 416, 95, 890, -178
