-------------------------------------ping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
44061, 12, 324, -123, 450, 5
44162, 33, 323, -129, 485, 1
44263, 54, 322, -136, 520, -4
44364, 75, 321, -143, 565, -8
44465, 96, 320, -150, 610, -12
44566, 85, 321, -189, 635, -15
44667, 74, 322, -229, 660, -14
44768, 63, 323, -268, 680, -12
44869, 52, 324, -308, 700, -8
44971, 41, 325, -347, 715, -5
45072, 30, 326, -386, 730, -2
45173, 19, 327, -426, 740, 0
45274, 8, 328, -465, 750, 2
45375, 10, 341, -459, 770, 3
45476, 12, 354, -453, 790, 2
45577, 14, 367, -446, 800, 2
45678, 16, 380, -440, 810, 1
45779, 18, 393, -434, 815, 1
45880, 20, 406, -428, 820, 1
45981, 22, 419, -421, 825, 0
46082, 24, 432, -415, 830, 0
46183, 20, 430, -351, 840, 0
46284, 16, 428, -288, 850, 1
46385, 12, 426, -224, 855, 2
46486, 8, 424, -160, 860, 3
46587, 4, 422, -96, 865, 4
46688, 0, 420, -33, 870, 4
46789, -4, 418, 31, 880, 5
46891, -8, 416, 95, 890, 6
46991, -8, 416, 95, 890, 6
47091, -8, 416, 95, 890, 6
47192, 3, 411, 53, 875, 5
47293, 14, 406, 10, 860, 2
47394, 25, 401, -33, 840, 0
47495, 36, 396, -75, 820, -2
47596, 47, 391, -118, 795, -4
47697, 58, 386, -160, 770, -6
47798, 69, 381, -203, 735, -9
47899, 80, 376, -245, 700, -11
48000, 82, 377, -239, 650, -12
48101, 84, 378, -234, 600, -12
48202, 86, 379, -228, 555, -13
48303, 88, 380, -223, 510, -13
48404, 90, 381, -217, 450, -13
48505, 92, 382, -211, 390, -14
48606, 94, 383, -206, 360, -14
48707, 96, 384, -200, 330, -15
48808, 79, 346, -177, 300, -13
48909, 62, 308, -154, 270, -10
49010, 45, 270, -131, 240, -7
49112, 28, 232, -108, 210, -3
49213, 11, 194, -84, 180, 0
49314, -6, 156, -61, 150, 4
49415, -23, 118, -38, 125, 7
49516, -40, 80, -15, 100, 10
49617, -35, 70, -13, 80, 12
49718, -30, 60, -11, 60, 10
49819, -25, 50, -9, 45, 9
49920, -20, 40, -8, 30, 8
50021, -15, 30, -6, 20, 7
50122, -10, 20, -4, 10, 6
50223, 0, 0, 0, 0, 4
50324, -5, 31, -1, 10, 4
50425, -10, 62, -1, 20, 5
50526, -15, 93, -2, 35, 6
50627, -20, 124, -3, 50, 7
Emergency stop command received!
Ready for new commands (Type 'l' to start cycle).



=======================
para 1.5

---------------------------inuous looping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
2749, 0, 0, 0, 0, 0
2849, -15, 93, -1, 10, 1
2950, -30, 186, -1, 20, 4
3051, -45, 279, -2, 35, 7
3152, -60, 372, -3, 50, 10
3253, -75, 465, -3, 70, 13
3354, -90, 558, -4, 90, 16
3456, -105, 651, -4, 110, 19
3557, -120, 744, -5, 130, 22
3658, -132, 774, -16, 155, 25
3759, -144, 804, -28, 180, 27
3860, -156, 834, -39, 210, 30
3961, -168, 864, -50, 240, 32
4062, -180, 894, -61, 270, 35
4163, -192, 924, -73, 300, 37
4264, -204, 954, -84, 320, 40
4365, -216, 984, -95, 340, 42
4466, -153, 981, -102, 365, 43
4567, -90, 978, -109, 390, 40
4668, -27, 975, -116, 420, 35
4769, 36, 972, -123, 450, 29
4870, 99, 969, -129, 485, 20
4971, 162, 966, -136, 520, 9
5072, 225, 963, -143, 565, -3
5173, 288, 960, -150, 610, -16
5274, 255, 963, -189, 635, -28
5376, 222, 966, -229, 660, -38
5477, 189, 969, -268, 680, -45
5578, 156, 972, -308, 700, -51
5679, 123, 975, -347, 715, -55
5780, 90, 978, -386, 730, -57
5881, 57, 981, -426, 740, -56
5982, 24, 984, -465, 750, -52
6083, 30, 1023, -459, 770, -46
6184, 36, 1062, -453, 790, -38
6285, 42, 1101, -446, 800, -29
6386, 48, 1140, -440, 810, -21
6487, 54, 1179, -434, 815, -15
6588, 60, 1218, -428, 820, -11
6689, 66, 1257, -421, 825, -10
6790, 72, 1296, -415, 830, -12
6891, 60, 1290, -351, 840, -13
6992, 48, 1284, -288, 850, -11
7093, 36, 1278, -224, 855, -9
