-------------------------------------
ng (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
39982, 8, 424, -160, 860, -77
40083, 4, 422, -96, 865, -77
40184, 0, 420, -33, 870, -76
40285, -4, 418, 31, 880, -76
40386, -8, 416, 95, 890, -75
40487, -8, 416, 95, 890, -75
40588, -8, 416, 95, 890, -75
40689, 3, 411, 53, 875, -74
40790, 14, 406, 10, 860, -73
40891, 25, 401, -33, 840, -73
40992, 36, 396, -75, 820, -71
41093, 47, 391, -118, 795, -70
41194, 58, 386, -160, 770, -70
41295, 69, 381, -203, 735, -69
41397, 80, 376, -245, 700, -67
41498, 82, 377, -239, 650, -67
41600, 84, 378, -234, 600, -68
41701, 86, 379, -228, 555, -68
41802, 88, 380, -223, 510, -68
41903, 90, 381, -217, 450, -68
42004, 92, 382, -211, 390, -68
42105, 94, 383, -206, 360, -69
42206, 96, 384, -200, 330, -69
42307, 79, 346, -177, 300, -67
42408, 62, 308, -154, 270, -63
42509, 45, 270, -131, 240, -57
42611, 28, 232, -108, 210, -50
42712, 11, 194, -84, 180, -43
42813, -6, 156, -61, 150, -36
42914, -23, 118, -38, 125, -28
43015, -40, 80, -15, 100, -21
43116, -35, 70, -13, 80, -14
43217, -30, 60, -11, 60, -9
43318, -25, 50, -9, 45, -5
43419, -20, 40, -8, 30, -2
43520, -15, 30, -6, 20, 1
43621, -10, 20, -4, 10, 3
43722, 0, 0, 0, 0, 6
43823, -5, 31, -1, 10, 8
43924, -10, 62, -1, 20, 7
44025, -15, 93, -2, 35, 3
44126, -20, 124, -3, 50, -3
44227, -25, 155, -3, 70, -11
44328, -30, 186, -4, 90, -18
44429, -35, 217, -4, 110, -25
44530, -40, 248, -5, 130, -32
44631, -44, 258, -16, 155, -37
44732, -48, 268, -28, 180, -42
44833, -52, 278, -39, 210, -46
44934, -56, 288, -50, 240, -48
45035, -60, 298, -61, 270, -51
45136, -64, 308, -73, 300, -53
45237, -68, 318, -84, 320, -55
45338, -72, 328, -95, 340, -57
45440, -51, 327, -102, 365, -57
45541, -30, 326, -109, 390, -56
45642, -9, 325, -116, 420, -56
45743, 12, 324, -123, 450, -56
45844, 33, 323, -129, 485, -56
45945, 54, 322, -136, 520, -56
46046, 75, 321, -143, 565, -55
46147, 96, 320, -150, 610, -55
46248, 85, 321, -189, 635, -55
46349, 74, 322, -229, 660, -55
46450, 63, 323, -268, 680, -55
46551, 52, 324, -308, 700, -56
46652, 41, 325, -347, 715, -56
46753, 30, 326, -386, 730, -56
46854, 19, 327, -426, 740, -56
46955, 8, 328, -465, 750, -56
47056, 10, 341, -459, 770, -58
47157, 12, 354, -453, 790, -61
47258, 14, 367, -446, 800, -63
47360, 16, 380, -440, 810, -66
47461, 18, 393, -434, 815, -68
47562, 20, 406, -428, 820, -71
47663, 22, 419, -421, 825, -74
47764, 24, 432, -415, 830, -76
47865, 20, 430, -351, 840, -77
47966, 16, 428, -288, 850, -76
48067, 12, 426, -224, 855, -75
48168, 8, 424, -160, 860, -75
48269, 4, 422, -96, 865, -75
48370, 0, 420, -33, 870, -74
48471, -4, 418, 31, 880, -74
48572, -8, 416, 95, 890, -73
48673, -8, 416, 95, 890, -73
48773, -8, 416, 95, 890, -73
48874, 3, 411, 53, 875, -72
48975, 14, 406, 10, 860, -71
49076, 25, 401, -33, 840, -71
49177, 36, 396, -75, 820, -69
49278, 47, 391, -118, 795, -68
49380, 58, 386, -160, 770, -67
49481, 69, 381, -203, 735, -67
49582, 80, 376, -245, 700, -65
49683, 82, 377, -239, 650, -65
49784, 84, 378, -234, 600, -66
49885, 86, 379, -228, 555, -66
49986, 88, 380, -223, 510, -66
50087, 90, 381, -217, 450, -66
50188, 92, 382, -211, 390, -66
50289, 94, 383, -206, 360, -67
50390, 96, 384, -200, 330, -67
50491, 79, 346, -177, 300, -65
50592, 62, 308, -154, 270, -61
50693, 45, 270, -131, 240, -55
50795, 28, 232, -108, 210, -48
50897, 11, 194, -84, 180, -41
50998, -6, 156, -61, 150, -34
51099, -23, 118, -38, 125, -26
51200, -40, 80, -15, 100, -19
51301, -35, 70, -13, 80, -12
51402, -30, 60, -11, 60, -7
51503, -25, 50, -9, 45, -3
51604, -20, 40, -8, 30, 0
51705, -15, 30, -6, 20, 3
51806, -10, 20, -4, 10, 5
51907, 0, 0, 0, 0, 8
52008, -5, 31, -1, 10, 10
52109, -10, 62, -1, 20, 9
52210, -15, 93, -2, 35, 5
Emergency stop command received!
Ready for new commands (Type 'l' to start cycle).


============================
para 1.5

-----------------------continuous looping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
3507, 0, 0, 0, 0, 0
3607, -15, 93, -1, 10, -2
3708, -30, 186, -1, 20, -6
3809, -45, 279, -2, 35, -12
3910, -60, 372, -3, 50, -20
4011, -75, 465, -3, 70, -30
4112, -90, 558, -4, 90, -42
4213, -105, 651, -4, 110, -56
4314, -120, 744, -5, 130, -72
4415, -132, 774, -16, 155, -88
4516, -144, 804, -28, 180, -104
4618, -156, 834, -39, 210, -118
4720, -168, 864, -50, 240, -132
4822, -180, 894, -61, 270, -144
4923, -192, 924, -73, 300, -155
5024, -204, 954, -84, 320, -166
5125, -216, 984, -95, 340, -176
5226, -153, 981, -102, 365, -184
5327, -90, 978, -109, 390, -190
5428, -27, 975, -116, 420, -194
5529, 36, 972, -123, 450, -196
5630, 99, 969, -129, 485, -195
5732, 162, 966, -136, 520, -193
5833, 225, 963, -143, 565, -193
5934, 288, 960, -150, 610, -192
6035, 255, 963, -189, 635, -193
6136, 222, 966, -229, 660, -193
6237, 189, 969, -268, 680, -194
6338, 156, 972, -308, 700, -195
6439, 123, 975, -347, 715, -195
6540, 90, 978, -386, 730, -196
6641, 57, 981, -426, 740, -196
6742, 24, 984, -465, 750, -197
6843, 30, 1023, -459, 770, -199
6944, 36, 1062, -453, 790, -203
7045, 42, 1101, -446, 800, -209
7146, 48, 1140, -440, 810, -216
7248, 54, 1179, -434, 815, -224
7349, 60, 1218, -428, 820, -231
7450, 66, 1257, -421, 825, -239
7552, 72, 1296, -415, 830, -246
7653, 60, 1290, -351, 840, -252
7754, 48, 1284, -288, 850, -256
7855, 36, 1278, -224, 855, -258
7956, 24, 1272, -160, 860, -258
8057, 12, 1266, -96, 865, -255
8158, 0, 1260, -33, 870, -253
8259, -12, 1254, 31, 880, -251
8360, -24, 1248, 95, 890, -250
8461, -24, 1248, 95, 890, -250
8562, -24, 1248, 95, 890, -250
8663, 9, 1233, 53, 875, -248
